Modelo,R² (Test),RMSE (Test),MAE (Test),R² (Val),RMSE (Val)
XGBoost Otimizado,0.5287994380759726,0.6542559973618496,0.5034883321241542,0.5963427283122025,0.6445532469615592
Random Forest Otimizado,0.49885120645452186,0.6747271053480295,0.5184712396239204,0.7516435506135017,0.5055802862462564
Random Forest Base,0.4781093906988457,0.6885485272823365,0.5232064102931148,0.9315819444618074,0.26536141473619285
XGBoost Base,0.3740899406745086,0.7540511006781552,0.5732383999893348,0.9680869094150268,0.18123281774150915
Linear Regression,0.20243194871724135,0.8511942612354537,0.6898459193217239,0.2918383787888976,0.853726187872548
